
# SID	@(#) glossary.txt 3.2 24/05/27 10:39:10

# acronym | description
#------+----------------------------------------------------------------------+
SLOTH	Security Losses from Obsolete and Truncated Transcript Hashes	(Exploit SSL/TLS)
SM2	ShangMi authentication function
SM3	ShangMi hash function
SM4	ShangMi block cipher (Chinese gouvernment algorithm, questionable but no objections yet)
SM4CCM	AEAD algorithms AEAD_SM4_CCM
SM4GCM	AEAD algorithms AEAD_SM4_GCM
SMS4	see SM4
SMACK	State Machine AttaCKs	(Exploit SSL/TLS)
Snefu	hash function
Snow20	see SNOW
SNI	Server Name Indication
SNOW	32-bit word synchronous stream ciphers (by Thomas Johansson and Patrik Ekdahl )
SNOW 1.0	see SNOW
SNOW 2.0	see SNOW
SNOW 3G	see SNOW
Snuffle 2005	see Salsa20
Snuffle 2008	see ChaCha
Sosemanuk	128-bit stream cipher (2005)
SOBER	Seventeen Octet Byte Enabled Register, 8-, 16-, 32-bit key stream cipher (1997)
SOBER-2	see SOBER
SOBER-t8	see SOBER
SOBER-t16	see SOBER
SOBER-t32	see SOBER
SOBER-128	see SOBER
SPARX	? algorithm
SPECK	lightweight 16-, 24-, 32-, 48-, 64-bit symmetric block cipher (NSA algorithm, questionable security) (2013, broken 2018)
Speck64	see SPECK
Speck128	see SPECK
Speck256	see SPECK
Speck256-XTS	see SPECK
SPD	Security Policy Database
SPDY	Google's application-layer protocol on top of SSL
SPHINCS	Stateless hash-based signatures, post-quantum hash function, signature
SPHINCS-256	alias for SPHINCS
SPHINCS-SHAKE256	alias for SPHINCS
SPHINCS-SHA-256	alias for SPHINCS
SPI	Security Parameters Index
SPKI	Subject Public Key Infrastructure
SPN	Substitution-Permutation Network
SPRP	Strong Pseudo-Random Permutation
Square	128-bit symmetric block cipher (1997, broken with Square attack))
SRI	Subresource Integrity
SRP	Secure Remote Password protocol
SRTP	Secure RTP
SSCD	Secure Signature Creation Device
SSEE	Sichere Signaturerstellungseinheit (same as SSCD)
SSK	Secret Signing Key
SSL	Secure Sockets Layer
SSLv2	Secure Sockets Layer Version 2
SSLv3	Secure Sockets Layer Version 3
SSP	Security Support Provider
SSPI	Security Support Provider Interface
SST	Serialized Certificate Store format
SSTP	Secure Socket Tunneling Protocol
STES	stream cipher
Streebog	hash function
Streebog-256	see Streebog
Streebog-512	see Streebog
STS	Strict Transport Security
STS 	Station-to-Station protocol
SUF-CMA	Strong UnForgeability against Chosen-Message Attacks
Sweet32	Birthday attacks on 64-bit block ciphers in TLS and OpenVPN	(Exploit SSL/TLS)
SWIFFT	hash function (Vadim Lyubashevsky, Daniele Micciancio, Chris Peikert, Alon Rosen, 2008)
SWIFFTX	see SWIFFT
TA	Trust Agent
TACK	Trust Assertions for Certificate Keys
TCB	Trusted Computing Base
TDEA	Tripple DEA
TEA	Tiny Encryption Algorithm
TEK	Traffic Encryption Key
TET	?
TGS	Ticket Granting Service (mainly Kerberos)
TGT	Ticket Granting Ticket (mainly Kerberos)
Tiger	hash function
TIME	Timing Info-leak Made Easy	(Exploit SSL/TLS)
TIME 	A Perfect CRIME? TIME Will Tell
Threefish	256-, 512-, 1024-bit symmetric block cipher (part of Skein hash function) (2008)
TLS	Transport Layer Security
TLSA	TLS Trust Anchors
TLSv1	Transport Layer Security version 1
TLSA RR	TLSA resource Record
TMAC	Two-Key CMAC, variant of CBC-MAC
TOCTOU	Time-of-check, time-of-use
TOFU	Trust on First Use
TR-02102	Technische Richtlinie 02102 (des BSI)
TR-03116	Technische Richtlinie 03116 (des BSI)
Trivium	80-bit key synchronous stream cipher (2005, broken 4/2015)
TSK	Transmission Security Key
TSK 	TACK signing key
TSP	trust-Management Service Provider
TSS	Time Stamp Service
TTP	trusted Third Party
Twofish	128-bit symmetric block cipher (1998)
UC 	Unified Capabilities
UC	Unified Communications (SSL Certificate using SAN)
UCC	Unified Communications Certificate (rarley used)
UMAC	Message Authentication Code based on universal hashing; aka universal hashing MAC; optimized for 32-bit architectures
URI	Uniform Resource Identifier
URL	Uniform Resource Locator
VEST	Very Efficient Substitution Transposition, cipher with T-functions (2005, brocken 2007)
VEST-4	see VEST
VEST-8	see VEST
VEST-16	see VEST
VEST-32	see VEST
VMAC	Universal hashing MAC; 64-bit variant of UMAC (by Ted Krovetz and Wei Dai)
VMPC	Variably Modified Permutation Composition, stream cipher (2007)
VR-224	alias for BADA55-VR-224
VR-256	alias for BADA55-VR-256
VR-384	alias for BADA55-VR-384
WAKE	32-bit word stream cipher (1993, broken)
WHIRLPOOL	hash function
WPAD	Web Proxy Auto-Discovery
wolfSSL	SSL library mainly intended and used for embedded and real-time systems
X.680	X.680: ASN.1
X.509	X.509: The Directory - Authentication Framework
X25519	alias for Curve25519 ?
X448	alias for Curve448 ?
X680	X.680: ASN.1
X509	X.509: The Directory - Authentication Framework
X3DH	Extended Triple Diffie-Hellman
XCBC	eXtended CBC-MAC
XCBC-MAC	same as XCBC
XChaCha	512-bit key stream cipher
XChaCha12	see ChaCha (aka 12-round XChaCha)
XChaCha20	see ChaCha (aka 20-round XChaCha)
XEX	XOR Encrypt XOR
XKMS	XML Key Management Specification
XMACC	counter-based XOR-MAC
XMACR	radomized XOR-MAC
XMLSIG	XML-Signature Syntax and Processing
XMSS	hash function
XSalsa2	variant of Salsa20
XTEA	extended Tiny Encryption Algorithm
XTS	XEX-based tweaked-codebook mode with ciphertext stealing
XUDA	Xcert Universal Database API
XXTEA	enhanced/corrected Tiny Encryption Algorithm
yaSSL	same as CyaSSL
ZLIB	Lossless compression file format
Zombie POODLE	invalid padding with valid MAC (variant of POODLE exploit)
ZRTP	SRTP for VoIP
ZSK	Zone Signing Key (DNSSEC)

